,UMID_MED,DT_MEDICAO,DC_NOME,UMID_MIN,TEMP_MED,CHUVA,lat,TEMP_MIN,TEMP_MAX,UF,VEL_VENTO_MED,CD_ESTACAO,lon
0,71.6,2014-06-01,ARCO VERDE,48,21.6,0.6,-8.4336111,16.4,27.5,PE,3.7,A309,-37.05555555
1,68.1,2014-06-02,ARCO VERDE,41,22.8,0,-8.4336111,18.2,29,PE,3.2,A309,-37.05555555
2,61.3,2014-06-03,ARCO VERDE,26,23.4,0,-8.4336111,17.8,30.9,PE,1.6,A309,-37.05555555
3,70,2014-06-04,ARCO VERDE,40,21.8,0.2,-8.4336111,15.2,29.3,PE,2.2,A309,-37.05555555
4,70.1,2014-06-05,ARCO VERDE,37,22.2,0,-8.4336111,15.4,29.4,PE,2.6,A309,-37.05555555
0,68.3,2014-06-01,CABROBÓ,46,24.5,0,-8.504,20.5,29.4,PE,3.3,A329,-39.31528
1,59.1,2014-06-02,CABROBÓ,29,26,0.2,-8.504,19.8,32.5,PE,3.3,A329,-39.31528
2,49.3,2014-06-03,CABROBÓ,23,27.9,0,-8.504,20.9,34.2,PE,2.8,A329,-39.31528
3,50.6,2014-06-04,CABROBÓ,29,26.8,0,-8.504,20.1,33.1,PE,3.7,A329,-39.31528
4,56.5,2014-06-05,CABROBÓ,31,26.9,0,-8.504,21.3,32.3,PE,4.3,A329,-39.31528
